Route,Zipcode,Weight
PAF73,78721,581400
PH21,78724,583480
PT31,78741,478260
PAF52,78723,581400
PAT54,78745,626580
PAM06,78739,1092240
PF32,78701,458460
PAF04,78703,651640
PAM71,78744,1201800
PAT70,78745,609900
PAW51,78727,842000
PAW02,78717,932200
PAW80,78726,809480
PAH03,78731,753460
PF33,78703,538940
PAT50,78704,556560
PH40,78741,682460
PM40,78744,849540
PW20,78758,649110
PAW52,78759,896640
PAW81,78750,766460
PAT74,78745,599740
PM21,78748,775240
PT10,78745,349820
PAM01,78739,1120760
PAM54,78748,940820